Protein IDs,Protein names,Gene names,mean log2Foldchange,mean -log10 p-value
P08182;A4V4C1;M9NGA3;M9NDU6;M9PHA6;P08182-3,Casein kinase II subunit beta,CkIIbeta,10.51730045369907,5.962185696359728
M9PB96;Q9VKQ3,Ribosome biogenesis protein WDR12 homolog,CG6724,6.53535912523737,6.471782885830298
A8JUU1;X2JJP5;X2JEY9;M9PHF1;A8JUU3;X2JEM2,,Sec16,5.45218030798794,5.779306042559781
Q9VCE7;Q8MRS5;Q95R71,,KrT95D,4.938516342598682,4.128316764144575
Q9VU76;M9PFE5;M9PFI2;Q961X4,,cmb,4.857152019677404,3.006211593676706
Q7K304;A0A0B4KFF6;A8DY77,,Drep2,4.558498842628659,4.801443954882957
M9PCU3;M9NEC1;M9PFS5;E1JI13;P98081;M9NDT7;M9NG14;M9PI84;P98081-2,Protein disabled,Dab,4.533483021232429,4.391666696880782
M9PEG1,,CG44195,4.429170007344496,3.69227697255407
P08120,Collagen alpha-1(IV) chain,Cg25C,4.393712765688587,2.266184187999682
Q8IM86;H9XVP2,,unc-13,4.16169735969538,4.799600759618109
Q8IN56;Q9I7I8;A0A0B4JDD8;A0A0B4JDG2;B7Z0M9;Q7KSB3;A0A0B4JCZ0;Q8IN55,Oxysterol-binding protein,Orp8,4.044400794089213,5.884718207897546
M9NGH0;M9PGM6;M9PIP8;M9PGF5;M9NFQ4;M9PG86;M9PDH4;M9NEP4;Q7KW14-2;Q7KW14;M9NE32,Coiled-coil domain-containing protein CG32809,CG32809,3.707336435946884,4.642422810783625
A8DYU2;R9PY34;A8DYU1;A8DYU3;R9PY62;M9NE71,,GramD1B,3.524842718591515,4.722213726520056
A0A0B4KEX6;Q9W205;A0A0B4KFF9;Q9W204;E1JGS7;Q8MME5,,jbug,3.4995239927485,2.490880881150646
Q95R34,,crn,3.412020989971465,3.605518373482409
Q7KV34,,pkm,3.354433979556397,5.465271152139807
O96607;Q0E8S7;Q9VM94;M9PB54;M9PEX1,,homer,3.332063010843907,4.374854042616587
Q86PF3;A0A0B4KHJ8;A0A0B4KHG1;A0A0B4KI32;Q9VA36;A0A0B4KI34;Q9Y154;Q9VA35,,cindr,3.314216518122988,4.578437564525311
Q9VN21,,lost,3.251039756835052,5.91654241087576
Q9VSX2,,BEST:GH12586,3.227630424254478,5.465258026350177
M9PHY4;M9PHG0;M9PHV3;Q9VX32-2;M9PJQ3;Q9VX32,Rho GTPase-activating protein 190,RhoGAPp190,3.174001428120631,4.199677190897511
Q0E9E6;D0Z740,,CG34141,3.165160185151489,4.942047570867024
Q9Y109;M9PBV6;REV__Q8MSW4;REV__Q8IQG1-4;REV__Q8IQG1-3;REV__D6W4U9;REV__Q8IQG1;REV__Q8IQG1-2,,BcDNA.GH11023,3.159206455946414,4.049415869383495
A0A0B4LHK4;A0A0B4KHZ8;A0A0B4KHR8;A0A0B4K725;Q9VCA8,Ankyrin repeat and KH domain-containing protein mask,mask,3.146920986844415,2.568115121984142
A0A0B4LJ24;A0A0B4K7G3;A0A0B4K6W5;Q9V9S7-2;Q9V9S7;A0A0B4K813;A0A0B4K7S3;Q9V9S7-3,Rho GTPase-activating protein 100F,RhoGAP100F,3.095346405327595,2.774680977697376
