Protein IDs,Protein names,Gene names,mean log2Foldchange,mean -log10 p-value
Q9XYM0;H9XVM6;Q95RW2;H9XVM7;X2JD84;X2JCS2,Adapter molecule Crk,Crk,9.757216607735224,9.729310574218385
B7Z0R2;A0A0B4KHD2;Q9VAS8,,spg,5.540480978415098,3.660115794136806
A4V1B2;Q9NB04,Patj homolog,Patj,4.60659494164095,4.170705036624849
Q9VSX2,,BEST:GH12586,4.434130689705672,5.270432141956411
Q86PF3;A0A0B4KHJ8;A0A0B4KHG1;A0A0B4KI32;Q9VA36;A0A0B4KI34;Q9Y154;Q9VA35,,cindr,4.142293270816912,4.929703502657569
A0A0B4JCU3;A0A0B4LH91;A0A0B4JD44;A0A0B4JD87;A0A0B4LG90;A0A0B4JCV3;Q9W1X3;A0A0B4KEX8;A0A0B4LG73;Q8SX60;A8DYN0;Q7JRH2,,Reep1,4.13699317387693,4.591247620408168
M9PCU3;M9NEC1;M9PFS5;E1JI13;P98081;M9NDT7;M9NG14;M9PI84;P98081-2,Protein disabled,Dab,3.804854273700588,3.803120559870236
A0A0S0X7W8;M9PGE0;M9NEN6;Q9W5A5-2;Q9W5A5,,Motor,3.766916220625196,3.732710493849071
Q9W3E2,,PIP82,3.739289225624655,4.470146380726427
M9PHA0;M9PHL6;Q9VYV8;M9PGW8;Q8IR86,,bif,3.691242414839839,4.366398670650738
A0A0B4KF63;A1Z9W7;A0A0B4JD54;Q7KMM8;A0A0B4JCT6;A1Z9W5;A8DYE0;E1JH70;A0A0B4JD77,,Kank,3.597980915731814,4.889717809580326
M9PH86;M9NDY9;M9NH46;B7Z0Y2;M9PER2;Q9VXL1;X2JE21;Q7KUY7,,mmd,3.499171098206476,4.656972400317195
Q9W3X7,,ND-ASHI,3.227178086782882,2.980606884740172
B7Z132;M9PJ95;B7Z130;O77086;B7Z131;X2JIR4;B7Z129;M9PGJ9;O77086-3;O77086-2,Guanine nucleotide-releasing factor 2,C3G,3.141729923210773,2.860061406257473
M9NGH0;M9PGM6;M9PIP8;M9PGF5;M9NFQ4;M9PG86;M9PDH4;M9NEP4;Q7KW14-2;Q7KW14;M9NE32,Coiled-coil domain-containing protein CG32809,CG32809,3.094002664984691,3.824676227277034
Q8IPJ3-3;Q8IPJ3-4;Q8IPJ3;Q8IPJ3-2;Q8IPJ3-5;M9PC77;E1JHA3,,LUBEL,3.047673832912288,5.188568502205495
A0A0B4JD26;A0A0B4KFQ6;A0A0B4KEQ8;A0A0B4KEV2;A0A0B4JD78;A0A0B4KG15;A1Z9X0-5;A1Z9X0-4;A1Z9X0-2;A1Z9X0;A1Z9X0-3,Protein kinase C;Atypical protein kinase C,aPKC,2.987826456247229,4.037079461149973
Q7K304;A0A0B4KFF6;A8DY77,,Drep2,2.91007564746785,3.829007757588125
Q7JR75;A1Z869;A0A6M3Q951;A0A0B4K7W2,,CAP,2.855225144973932,4.958653678503628
M9PJD0;E2QD98;X2JIZ6;X2JCZ1;M9NEZ2;Q6NR03;Q9W3H7;Q0KHU9;Q9W3H8;Q9W3H6;Q7KVT3;M9NG38,,sdt,2.733740146721536,3.733573495713925
B7YZS3;Q9W1A4,Protein tamozhennic,tamo,2.728446868105343,3.502373835733647
Q7KLE5;A0A0B4KEW6,,Amph,2.663980315657628,7.354524694496813
C3KGL5;Q9VIN1;M9PGB1;A8DZ20;M9PBE8;A8DZ19,,RtGEF,2.634777789991663,3.650509301181547
C7LA93;P15330;E1JHK3;P15330-2,Embryonic polarity protein dorsal,dl,2.616847236919408,4.999513246792505
Q9VZQ3;Q7KV69;Q7KV70;M9PBL6;A8JNJ6,,kst,2.560347853465271,2.122807784734225
Q8MMD2;Q8MMD3;E3CTP7;Q9W111,,Eps-15,2.520770484938367,4.746637630270697
Q9VHC3,,by,2.517002626404871,3.826225516496862
Q7PLI0,,p120ctn,2.483326257349267,3.576416194471304
Q9VIX2;Q9VIX3;Q8INW7;D3DMM0;Q2PDT4;Q966T5,,Pax,2.444526299541796,4.679448156128711
Q8IRI6-15;Q8IRI6-16;Q8IRI6-14;Q8IRI6-13;Q8IRI6-6;Q8IRI6-7;Q8IRI6-8;Q8IRI6-12;Q8IRI6-18,Glucose transporter type 1,Glut1,2.442026594553739,3.637899267815573
M9PF36;Q9VSZ1;M9PEX2,,DmTOM1,2.440795503220315,4.571373057654036
M9NDA6;Q8I7C3;M9NFH3;Q8I7C3-2,LIM and SH3 domain protein Lasp,Lasp,2.404911436579229,2.498397931077406
Q95R34,,crn,2.280643916855389,2.85758781837532
Q9W3K6,,CG2258,2.180548339770191,3.066506834723897
A0A0B4KER0;Q5U156;Q95RL2,,row,2.10624579922977,3.264991614688325
Q8IPC5;Q8IPC3,,CYLD,2.005508183906493,3.168858720476206
