Protein IDs,Protein names,Gene names,mean log2Foldchange,mean -log10 p-value
P81900;P81900-5,cAMP-dependent protein kinase type II regulatory subunit,Pka-R2,7.194703754426268,8.59157051987938
Q9VU76;M9PFE5;M9PFI2;Q961X4,,cmb,7.079307603982429,5.133151912250921
B7Z0X3;Q0KHV9;X2JE60;X2JAH8;Q9W4E2;B7Z0W8;Q9W4E2-6,Neurobeachin,rg,6.947950465813253,3.339081008987387
Q9VU95,Alanine--glyoxylate aminotransferase 2-like,CG8745,6.034628626853492,5.508210600445544
Q8I0G5-3;A0A0B4KHL2,Coatomer subunit gamma,gammaCop,5.611904119778011,3.561893144471451
M9PGC5-3;M9PGC5-2;M9PGC5,,Wnk,4.584798447615597,3.08888421329795
P12370;Q9VA47,cAMP-dependent protein kinase catalytic subunit,Pka-C1,4.133198552502943,7.572693168125848
A1Z7K8,,AIMP1,4.072719478673934,3.739175046749945
E1JIH5;Q8MSX2,Mediator of RNA polymerase II transcription subunit 6,MED6,3.852230487920826,3.622336637300403
A8DYJ3;A0A0B4LG26;Q11002;Q11002-2,Calpain-A;Calpain-A catalytic subunit,CalpA,3.668130892985026,3.245495821471531
Q86BM5;Q9VLL3-2;Q9VLL3,,Akap200,3.536301420621228,3.92090516268501
X2J4C1;P21521-2;P21521;X2J979;P21521-4;P21521-5;P21521-6;B7Z0K2;A8JR10;Q6XK20;B7Z0K1;Q59DW9;Q59DX2;Q6XK19;A0A0B4K657,Synaptotagmin 1,Syt1,3.353597218978969,3.51675317204373
M9PCM8;M9MRF5;M9MRD6;M9PC23,,Msp300,3.343641909495531,3.268581014213499
M9PHJ0;P19351-2;P19351;M9PJM6;P19351-8;P19351-7;X2JBP9;P19351-10,"Troponin T, skeletal muscle",up,3.255540919647319,2.943799290721598
Q95R34,,crn,3.184935657988734,3.61097966365176
A0A0B4KF63;A1Z9W7;A0A0B4JD54;Q7KMM8;A0A0B4JCT6;A1Z9W5;A8DYE0;E1JH70;A0A0B4JD77,,Kank,2.873165049642656,3.668278478846071
Q9W1Q8;Q0E8X6,,eIF2B-delta,2.749110783896762,3.388374231678178
Q7KMP8,,Rpn9,2.739722316259969,3.089572667690601
Q9VFV9,,Droj2,2.614391975053877,3.382428725345298
Q23983,Soluble NSF attachment protein,Snap,2.611027876816264,3.615279938320639
Q9NHE5-7;Q9NHE5-4;Q9NHE5;Q9NHE5-6;Q9NHE5-5;Q9NHE5-2;Q9NHE5-3,Calcium-dependent secretion activator,Caps,2.538780559553125,3.335696880650717
Q9VPY9;M9NCP5,,CG5001,2.438930900045307,5.519678397068826
A1Z6N2,,Tdc1,2.39095933670156,5.252065647965648
M9PEB1;Q9VRV1;M9PEH8,,fmt,2.386767350235282,6.954397203383468
E1JHT6;E1JHT9,Reticulon-like protein,Rtnl1,2.216654136139159,5.09787511676802
M9PCK5;M9PC59;Q9VR35;Q9VR35-2,,mxt,2.175293234486688,4.400409912345706
M9PF36;Q9VSZ1;M9PEX2,,DmTOM1,2.146737111158686,4.175704363677063
Q8IPJ3-3;Q8IPJ3-4;Q8IPJ3;Q8IPJ3-2;Q8IPJ3-5;M9PC77;E1JHA3,,LUBEL,2.122604894632492,5.100139300031922
Q8SYD9;Q8T389;A8DYJ1;A8DYJ0,,EndoB,2.120295267743323,5.80728163003718
Q86PF3;A0A0B4KHJ8;A0A0B4KHG1;A0A0B4KI32;Q9VA36;A0A0B4KI34;Q9Y154;Q9VA35,,cindr,2.060900209296194,4.098046942460923
Q86NW1;Q8IH57,,Vmat,2.056413471680538,2.871978584422402
Q9VL06,,Ufd4,2.049541183095348,2.605770210646645
